iter	Passed	Remaining
402	6341	9393
403	6359	9381
404	6376	9367
405	6385	9342
406	6397	9320
407	6417	9311
408	6439	9304
409	6456	9291
410	6474	9278
411	6491	9265
412	6517	9263
413	6532	9246
414	6550	9234
415	6571	9225
416	6601	9229
417	6612	9206
418	6630	9193
419	6650	9184
420	6669	9172
421	6688	9160
422	6704	9145
423	6720	9129
424	6733	9109
425	6752	9098
426	6768	9082
427	6785	9068
428	6801	9053
429	6819	9039
430	6841	9032
431	6859	9018
432	6883	9013
433	6901	9000
434	6923	8992
435	6933	8968
436	6951	8956
437	6961	8932
438	6978	8918
439	6996	8905
440	7015	8892
441	7032	8878
442	7050	8865
443	7067	8849
444	7078	8828
445	7090	8807
446	7105	8789
447	7117	8769
448	7135	8756
449	7155	8745
450	7182	8743
451	7214	8746
452	7245	8749
453	7275	8749
454	7307	8752
455	7342	8759
456	7361	8747
457	7383	8738
458	7398	8719
459	7421	8711
460	7437	8695
461	7454	8681
462	7472	8666
463	7494	8657
464	7505	8635
465	7530	8628
466	7547	8614
467	7558	8591
468	7567	8568
469	7577	8545
470	7586	8520
471	7597	8498
472	7607	8476
473	7618	8454
474	7630	8433
475	7640	8410
476	7649	8386
477	7660	8365
478	7669	8342
479	7678	8318
480	7688	8296
481	7697	8272
482	7706	8249
483	7715	8225
484	7727	8205
485	7740	8186
486	7757	8171
487	7777	8159
488	7789	8139
489	7799	8117
490	7809	8096
491	7822	8076
492	7830	8053
493	7839	8029
494	7849	8007
495	7860	7987
496	7870	7965
497	7879	7942
498	7892	7923
499	7904	7904
500	7913	7882
501	7926	7863
502	7937	7842
503	7947	7821
504	7961	7803
505	7973	7784
506	7983	7763
507	7995	7743
508	8008	7725
509	8018	7704
510	8029	7683
511	8040	7663
512	8049	7641
513	8058	7619
514	8069	7599
515	8077	7576
516	8088	7556
517	8111	7547
518	8134	7539
519	8155	7528
520	8168	7509
521	8178	7489
522	8188	7468
523	8204	7452
524	8226	7442
525	8246	7431
526	8262	7416
527	8300	7420
528	8338	7424
529	8353	7407
530	8361	7385
531	8370	7363
532	8380	7342
533	8387	7319
534	8399	7300
535	8406	7277
536	8415	7255
537	8423	7233
538	8432	7212
539	8439	7189
540	8448	7168
541	8458	7147
542	8467	7126
543	8475	7104
544	8483	7082
545	8490	7059
546	8502	7041
547	8509	7019
548	8519	6998
549	8529	6978
550	8536	6956
551	8544	6934
552	8551	6912
553	8558	6890
554	8565	6868
555	8573	6846
556	8582	6826
557	8590	6804
558	8600	6784
559	8607	6763
560	8615	6742
561	8626	6723
562	8637	6704
563	8646	6684
564	8654	6663
565	8662	6642
566	8669	6620
567	8677	6599
568	8686	6579
569	8696	6560
570	8703	6539
571	8713	6520
572	8721	6498
573	8729	6478
574	8737	6458
575	8751	6441
576	8763	6424
577	8774	6406
578	8782	6385
579	8789	6364
580	8798	6345
581	8809	6326
582	8817	6307
583	8828	6288
584	8846	6275
585	8853	6255
586	8871	6241
587	8888	6228
588	8904	6213
589	8921	6199
590	8937	6185
591	8953	6170
592	8968	6155
593	8990	6145
594	9023	6141
595	9042	6129
596	9057	6114
597	9065	6094
598	9075	6075
599	9090	6060
600	9107	6046
601	9124	6032
602	9140	6017
603	9157	6003
604	9173	5989
605	9188	5973
606	9204	5959
607	9213	5940
608	9224	5922
609	9240	5907
610	9249	5889
611	9259	5870
612	9269	5852
613	9278	5832
614	9288	5814
615	9295	5794
616	9306	5776
617	9320	5761
618	9327	5741
619	9336	5722
620	9344	5702
621	9352	5683
622	9362	5665
623	9369	5645
624	9377	5626
625	9385	5607
626	9392	5587
627	9400	5568
628	9407	5548
629	9415	5529
630	9422	5510
631	9429	5490
632	9438	5472
633	9445	5452
634	9453	5433
635	9460	5414
636	9468	5395
637	9476	5376
638	9483	5357
639	9491	5338
640	9501	5321
641	9510	5303
642	9518	5284
643	9525	5265
644	9532	5246
645	9539	5227
646	9549	5210
647	9556	5191
648	9565	5173
649	9573	5154
650	9582	5137
651	9590	5118
652	9598	5100
653	9606	5082
654	9613	5063
655	9621	5045
656	9629	5027
657	9636	5008
658	9645	4991
659	9654	4973
660	9664	4956
661	9685	4945
662	9694	4927
663	9710	4913
664	9727	4900
665	9747	4888
666	9765	4875
667	9781	4861
668	9797	4847
669	9805	4829
670	9815	4812
671	9832	4799
672	9849	4785
673	9869	4773
674	9890	4761
675	9907	4748
676	9927	4736
677	9941	4721
678	9955	4706
679	9977	4695
680	9992	4680
681	10005	4665
682	10022	4651
683	10036	4636
684	10046	4620
685	10054	4602
686	10071	4588
687	10089	4575
688	10104	4560
689	10121	4547
690	10136	4532
691	10146	4516
692	10153	4498
693	10168	4483
694	10178	4466
695	10195	4453
696	10211	4438
697	10225	4424
698	10242	4410
699	10257	4396
700	10272	4381
701	10284	4365
702	10303	4352
703	10319	4338
704	10338	4326
705	10351	4310
706	10369	4297
707	10383	4282
708	10393	4265
709	10401	4248
710	10416	4234
711	10432	4219
712	10443	4203
713	10458	4189
714	10475	4175
715	10492	4161
716	10507	4147
717	10525	4133
718	10532	4116
719	10547	4101
720	10557	4085
721	10573	4071
722	10588	4056
723	10601	4041
724	10615	4026
725	10629	4011
726	10639	3995
727	10655	3981
728	10668	3966
729	10682	3951
730	10698	3936
731	10714	3922
732	10736	3910
